,current_cycle,distance,lvalue
0,0.0,-138.6,7.537272727272728
1,0.0,-120.12,7.563333333333333
2,0.0,-106.2,7.625555555555555
3,0.0,-92.4,7.555454545454544
4,0.0,-78.72,7.616363636363636
5,0.0,-65.03999999999999,7.644444444444446
6,0.0,-51.11999999999999,7.803333333333332
7,0.0,-37.44,8.116363636363635
8,0.0,-23.639999999999986,8.653636363636366
9,0.0,-9.72,9.341111111111111
10,0.0,4.200000000000017,9.809999999999999
11,0.0,18.0,9.81
12,0.0,31.920000000000016,9.762727272727274
13,0.0,45.96000000000001,9.556363636363635
14,0.0,59.76000000000002,9.486666666666668
15,0.0,73.68,8.113333333333335
16,0.0,87.60000000000002,7.693636363636364
17,0.5,-16.08,9.090000000000002
18,0.5,-28.91999999999999,9.461818181818183
19,0.5,-42.6,10.129090909090909
20,0.5,-56.51999999999998,11.465555555555556
21,0.5,-70.56,11.5
22,0.5,-83.16,11.5
23,0.5,-97.44,11.5
24,0.5,-111.23999999999998,11.5
25,0.5,-124.2,11.5
26,1.0,-126.6,11.5
27,1.0,-113.76,11.5
28,1.0,-99.84,11.451818181818181
29,1.0,-86.03999999999998,11.463
30,1.0,-71.28,11.5
31,1.0,-57.47999999999999,11.5
32,1.0,-43.67999999999999,10.49
33,1.0,-29.879999999999995,8.762
