,current_cycle,distance,lvalue
17,0.5,-16.08,9.090000000000002
18,0.5,-28.91999999999999,9.461818181818183
19,0.5,-42.6,10.129090909090909
20,0.5,-56.51999999999998,11.465555555555556
21,0.5,-70.56,11.5
22,0.5,-83.16,11.5
23,0.5,-97.44,11.5
24,0.5,-111.23999999999998,11.5
25,0.5,-124.2,11.5
